"Id del Producto";"Referencia del Producto";"Atributo (Nombre:Tipo:Posicion)*";"Valor (Valor:Posicion)*";"Ref proveedor";"Referencia";"EAN13";"UPC";"MPN";"Precio de coste";"Impacto en el precio";"Ecotasa";"Cantidad";"Cantidad minima";"Nivel de stock bajo";"Enviame un mensaje de correo electronico";"Impacto en el peso";"Predeterminado (0=No, 1=Si)";"Fecha de disponibilidad de la combinacion";"Elegir entre imagenes de productos por posicion(1,2,3)";"URLs de las imagenes(x,y,z...)";"Textos alternativos de imagen(x,y,z...)";"Id / Nombre de la tienda"
87;"";"Medida:select:0,Acabado:select:1";"80 cm:0,Nogal arenado:1";"";"C0071203";"8414623313942";"";"";"";23.14;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/ba248145-1cbc-40fa-b3f4-b89383304616/Easy-100-blanco-protada_1716350196.3948495";"";1
87;"";"Medida:select:0,Acabado:select:1";"100 cm:0,Nogal arenado:1";"";"C0072028";"8414623335746";"";"";"";96.58;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/ba248145-1cbc-40fa-b3f4-b89383304616/Easy-100-blanco-protada_1716350196.3948495";"";1
87;"";"Medida:select:0,Acabado:select:1";"60 cm:0,Antracita brillo:1";"";"C0071198";"8414623313898";"";"";"";0.0;0;100;1;"";"";0;1;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/ba248145-1cbc-40fa-b3f4-b89383304616/Easy-100-blanco-protada_1716350196.3948495";"";1
87;"";"Medida:select:0,Acabado:select:1";"100 cm:0,Antracita brillo:1";"";"C0072026";"8414623335722";"";"";"";96.58;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/ba248145-1cbc-40fa-b3f4-b89383304616/Easy-100-blanco-protada_1716350196.3948495";"";1
87;"";"Medida:select:0,Acabado:select:1";"80 cm:0,Antracita brillo:1";"";"C0071206";"8414623313973";"";"";"";23.14;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/ba248145-1cbc-40fa-b3f4-b89383304616/Easy-100-blanco-protada_1716350196.3948495";"";1
87;"";"Medida:select:0,Acabado:select:1";"70 cm:0,Antracita brillo:1";"";"C0071202";"8414623313935";"";"";"";18.53;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/ba248145-1cbc-40fa-b3f4-b89383304616/Easy-100-blanco-protada_1716350196.3948495";"";1
87;"";"Medida:select:0,Acabado:select:1";"70 cm:0,Wengue arenado:1";"";"C0071200";"8414623313911";"";"";"";18.53;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/ba248145-1cbc-40fa-b3f4-b89383304616/Easy-100-blanco-protada_1716350196.3948495";"";1
87;"";"Medida:select:0,Acabado:select:1";"70 cm:0,Nogal arenado:1";"";"C0071199";"8414623313904";"";"";"";18.53;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/ba248145-1cbc-40fa-b3f4-b89383304616/Easy-100-blanco-protada_1716350196.3948495";"";1
87;"";"Medida:select:0,Acabado:select:1";"80 cm:0,Wengue arenado:1";"";"C0071204";"8414623313959";"";"";"";23.14;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/ba248145-1cbc-40fa-b3f4-b89383304616/Easy-100-blanco-protada_1716350196.3948495";"";1
87;"";"Medida:select:0,Acabado:select:1";"60 cm:0,Wengue arenado:1";"";"C0071196";"8414623313874";"";"";"";0.0;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/ba248145-1cbc-40fa-b3f4-b89383304616/Easy-100-blanco-protada_1716350196.3948495";"";1
